Tên sản phẩm,Giá (đồng),Đơn vị,Nhóm thực phẩm
Thùng 48 bịch sữa dinh dưỡng có đường Vinamilk Happy Star 220ml,375000,220ml,Sữa tươi
Thùng 48 hộp sữa dinh dưỡng Nuvi có đường 180ml,390000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Kun 100% ít đường 180ml,352000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Kun 100% Sữa tươi 180ml,352000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk Green Farm rất ít đường 110ml,255000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk Green Farm rất ít đường 180ml,385000,180ml,Sữa tươi
Thùng 24 bịch sữa ít đường Dutch Lady 180ml,177000,180ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng có đường Nutimilk 220ml,375000,220ml,Sữa tươi
Thùng 24 bịch sữa tươi có đường Dutch Lady Cao Khoẻ 180ml,163000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% ít đường 180ml,348000,180ml,Sữa tươi
Thùng 12 hộp sữa tươi Vinamilk 100% không đường 1 lít,380000,1l,Sữa tươi
Thùng 48 hộp sữa tươi ít đường TH true MILK 180ml,410000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% có đường 180ml,348000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi ít đường TH true MILK 110ml,260000,110ml,Sữa tươi
Thùng 48 bịch sữa tươi ít đường TH true MILK 220ml,360000,220ml,Sữa tươi
Thùng 48 hộp sữa tươi Nutimilk tươi sạch có đường 180ml,400000,180ml,Sữa tươi
Thùng 48 bịch sữa Vinamilk có đường 220ml,325000,220ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK 180ml,410000,180ml,Sữa tươi
Thùng 12 hộp sữa tươi TH true MILK 1 lít,450000,1l,Sữa tươi
Thùng 48 hộp sữa tươi có đường TH true MILK 180ml,410000,180ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Dutch Lady dâu 180ml,390000,180ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Dutch Lady có đường 180ml,390000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Dutch Lady ít đường 180ml,415000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi có đường Dutch Lady 180ml,415000,180ml,Sữa tươi
Thùng 48 bịch sữa tươi có đường TH true MILK 220ml,360000,220ml,Sữa tươi
Thùng 12 hộp sữa tươi có đường TH true MILK 1 lít,450000,1l,Sữa tươi
Thùng 48 bịch sữa tươi TH true MILK 220ml,360000,220ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Vinamilk không đường 220ml,325000,220ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Dutch Lady socola 180ml,390000,180ml,Sữa tươi
Thùng 48 hộp sữa dinh dưỡng Dutch Lady socola 180ml,415000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk không đường 110ml,225000,110ml,Sữa tươi
Thùng 48 hộp sữa dinh dưỡng Dutch Lady dâu 180ml,415000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK 110ml,260000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi Nutimilk ít đường 110ml,264000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi Nutimilk có đường 110ml,264000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi Nutimilk tươi sạch ít đường 180ml,400000,180ml,Sữa tươi
Thùng 48 bịch sữa tươi Dalat Milk 220ml,390000,220ml,Sữa tươi
Thùng 48 hộp sữa tươi Dalat Milk ít đường 110ml,263000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK Hilo 180ml,465000,180ml,Sữa tươi
Thùng 48 bịch sữa tươi Vinamilk 100% ít đường 220ml,360000,220ml,Sữa tươi
Thùng 12 hộp sữa tươi có đường Dutch Lady 965ml,452000,965ml,Sữa tươi
Thùng 48 bịch sữa tươi Vinamilk 100% có đường 220ml,360000,220ml,Sữa tươi
Thùng 12 hộp sữa tươi Vinamilk 100% ít đường 1 lít,380000,1l,Sữa tươi
Thùng 12 hộp sữa tươi không đường Dutch Lady 965ml,452000,965ml,Sữa tươi
Sữa tươi Vinamilk 100% không đường 1 lít,37500,1l,Sữa tươi
Thùng 48 hộp sữa tươi Nutimilk nguyên chất 180ml,400000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Nutimilk nguyên chất 180ml,34000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Nutimilk ít đường 110ml,22500,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Nutimilk có đường 110ml,22500,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Dutch Lady ít đường 180ml,35500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Kun 100% ít đường 180ml,34000,180ml,Sữa tươi
Sữa dinh dưỡng Dutch Lady socola 180ml,7400,180ml,Sữa tươi
Sữa dinh dưỡng Dutch Lady dâu 180ml,7400,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Nutimilk tươi sạch ít đường 180ml,34000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Nutimilk tươi sạch có đường 180ml,34000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk không đường 110ml,22000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Kun 100% có đường 180ml,34000,180ml,Sữa tươi
Sữa dinh dưỡng Dutch Lady không đường 180ml,7400,180ml,Sữa tươi
Sữa dinh dưỡng Dutch Lady có đường 180ml,7400,180ml,Sữa tươi
Lốc 4 hộp sữa dinh dưỡng có đường Nuvi 180ml,33000,180ml,Sữa tươi
Thùng 48 bịch sữa tươi Vinamilk 100% không đường 220ml,360000,220ml,Sữa tươi
Sữa tươi Vinamilk 100% không đường 220ml,8700,220ml,Sữa tươi
Sữa tươi Vinamilk 100% ít đường 220ml,8700,220ml,Sữa tươi
Sữa tươi Vinamilk 100% có đường 220ml,8700,220ml,Sữa tươi
Sữa tươi Dalat Milk bịch 220ml,8400,220ml,Sữa tươi
Lốc 4 hộp sữa tươi ít đường Dalat Milk 110ml,23000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi Dalat Milk có đường 110ml,263000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường Dalat Milk 110ml,23000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK 110ml,24500,110ml,Sữa tươi
Sữa dinh dưỡng có đường Nutimilk 220ml,8600,220ml,Sữa tươi
Sữa dinh dưỡng Dutch Lady ít đường 180ml,7400,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk Green Farm rất ít đường 110ml,23500,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk Green Farm rất ít đường 180ml,36500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi ít đường Dalat Milk 180ml,35000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi ít đường Dalat Milk 180ml,380000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường Dalat Milk 180ml,35000,180ml,Sữa tươi
Sữa tươi ít đường Dalat Milk bịch 220ml,8400,220ml,Sữa tươi
Thùng 48 bịch sữa tươi có đường Dalat Milk 220ml,390000,220ml,Sữa tươi
Sữa tươi có đường Dalat Milk bịch 220ml,8400,220ml,Sữa tươi
Sữa tiệt trùng có đường Dutch Lady Cao Khoẻ bịch 180ml,7400,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% ít đường 110ml,225000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk 100% ít đường 110ml,22000,110ml,Sữa tươi
Sữa dinh dưỡng Vinamilk ít đường 220ml,7600,220ml,Sữa tươi
Thùng 48 hộp sữa tươi Dutch Lady Cao Khoẻ dâu 170ml,392000,170ml,Sữa tươi
Lốc 4 hộp sữa tươi Dutch Lady Cao Khoẻ dâu 170ml,31000,170ml,Sữa tươi
Sữa tươi ít đường Vinamilk 100% hộp 1 lít,37500,1l,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Vinamilk ít đường 220ml,325000,220ml,Sữa tươi
Sữa thanh trùng Lothamilk có đường chai 490ml,28000,490ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường Dutch Lady Cao Khoẻ 170ml,31000,170ml,Sữa tươi
Thùng 48 hộp sữa dinh dưỡng Vinamilk ADM có đường 110ml,218000,110ml,Sữa tươi
Lốc 4 hộp sữa dinh dưỡng Vinamilk ADM có đường 110ml,18300,110ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK socola 110ml,260000,110ml,Sữa tươi
Thùng 48 hộp sữa dinh dưỡng Vinamilk ADM có đường 180ml,345000,180ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Vinamilk dâu 220ml,325000,220ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% có đường 110ml,225000,110ml,Sữa tươi
Thùng 12 hộp sữa tươi Vinamilk 100% có đường 1 lít,380000,1l,Sữa tươi
Thùng 48 hộp sữa tươi có đường Dutch Lady 110ml,245000,110ml,Sữa tươi
Thùng 12 hộp sữa tươi ít đường TH true MILK 1 lít,450000,1l,Sữa tươi
Thùng 48 hộp sữa tươi TH true Milk dâu 180ml,410000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi có đường TH true MILK 110ml,260000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK dâu 110ml,260000,110ml,Sữa tươi
Thùng 48 hộp sữa tươi TH true MILK socola 180ml,410000,180ml,Sữa tươi
Thùng 48 bịch sữa dinh dưỡng Vinamilk socola 220ml,325000,220ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% không đường 180ml,348000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% socola 180ml,348000,180ml,Sữa tươi
Thùng 48 hộp sữa tươi Vinamilk 100% dâu 180ml,348000,180ml,Sữa tươi
Lốc 4 hộp sữa dinh dưỡng Dutch Lady dâu 180ml,34000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk 100% ít đường 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk 100% socola 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk dâu 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa dinh dưỡng Vinamilk ADM có đường 180ml,31000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK dâu 110ml,25000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi ít đường TH true MILK 180ml,39000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi ít đường TH true MILK 110ml,25000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường TH true MILK 180ml,38500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường TH true MILK 110ml,24500,110ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK socola 110ml,25000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk không đường 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk 100% dâu 110ml,21500,110ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk 100% có đường 110ml,22000,110ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK socola 180ml,39000,180ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK 180ml,38500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường Dutch Lady 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi có đường Dutch Lady 110ml,22000,110ml,Sữa tươi
Lốc 4 hộp sữa dinh dưỡng Dutch Lady socola 180ml,33500,180ml,Sữa tươi
Lốc 4 hộp sữa tươi TH true MILK dâu 180ml,39000,180ml,Sữa tươi
Sữa tươi ít đường TH true MILK bịch 220ml,8700,220ml,Sữa tươi
Sữa tươi có đường TH true MILK bịch 220ml,8700,220ml,Sữa tươi
Sữa tươi TH true MILK bịch 220ml,8700,220ml,Sữa tươi
Lốc 4 hộp sữa tươi Vinamilk có đường 180ml,33500,180ml,Sữa tươi
Sữa tươi Vinamilk 100% có đường 1 lít,37500,1l,Sữa tươi
Sữa tươi có đường TH true MILK hộp 1 lít,39500,1l,Sữa tươi
Sữa tươi TH true MILK hộp 1 lít,40000,1l,Sữa tươi
Sữa dinh dưỡng Vinamilk socola 220ml,7700,220ml,Sữa tươi
Sữa dinh dưỡng Vinamilk không đường 220ml,7600,220ml,Sữa tươi
Sữa dinh dưỡng Vinamilk dâu 220ml,7700,220ml,Sữa tươi
Sữa dinh dưỡng Vinamilk Happy Star có đường 220ml,7900,220ml,Sữa tươi
Sữa dinh dưỡng Vinamilk có đường bịch 220ml,7600,220ml,Sữa tươi
Sữa tươi ít đường TH true MILK hộp 1 lít,39500,1l,Sữa tươi
Sữa tươi không đường Dutch Lady hộp 965ml,36500,965ml,Sữa tươi
Sữa tươi có đường Dutch Lady hộp 965ml,36500,965ml,Sữa tươi
48 hộp sữa lúa mạch Milo ít đường 110ml,230000,110ml,Sữa tươi
48 hộp sữa lúa mạch Milo 110ml,230000,110ml,Sữa tươi
48 hộp sữa lúa mạch Milo 180ml,335000,180ml,Sữa tươi
Thùng 36 hộp sữa đậu nành Fami Canxi cà phê 200ml,160000,200ml,Sữa hạt
Thùng 36 hộp sữa đậu nành Fami sữa dừa 200ml,160000,200ml,Sữa hạt
Thùng 36 hộp sữa đậu nành Fami Canxi 200ml,160000,200ml,Sữa hạt
Thùng 48 hộp sữa đậu nành tươi Vinamilk 180ml,232000,180ml,Sữa hạt
Thùng 36 hộp sữa đậu nành Fami ít đường 200ml,154000,200ml,Sữa hạt
Thùng 36 hộp sữa đậu nành Fami nguyên chất 200ml,154000,200ml,Sữa hạt
Sữa đậu nành Fami Canxi 1 lít,22000,1l,Sữa hạt
Thùng 40 bịch sữa đậu nành Fami Canxi ít đường 200ml,150000,200ml,Sữa hạt
Thùng 40 bịch sữa đậu nành Fami Canxi 200ml,150000,200ml,Sữa hạt
Thùng 40 bịch sữa đậu nành Fami ít đường 200ml,150000,200ml,Sữa hạt
Thùng 40 bịch sữa đậu nành Fami nguyên chất 200ml,150000,200ml,Sữa hạt
Thùng 48 hộp sữa đậu nành óc chó Vinamilk 180ml,330000,180ml,Sữa hạt
Thùng 48 hộp ngũ cốc Việt Ngũ Cốc 180ml,390000,180ml,Sữa hạt
Thùng 10 hộp sữa đậu nành Fami 1 lít,190000,1l,Sữa hạt
Thùng 24 hộp sữa Vinamilk 9 loại hạt ít đường 180ml,273000,9l,Sữa hạt
Thùng 12 hộp sữa đậu nành óc chó Vinamilk 1 lít,408000,1l,Sữa hạt
Sữa đậu nành óc chó Vinamilk 1 lít,35000,1l,Sữa hạt
Thùng 24 hộp sữa bắp non hạt sen LOF 180ml,190000,180ml,Sữa hạt
Lốc 4 hộp sữa bắp non hạt sen LOF 180ml,32500,180ml,Sữa hạt
Lốc 4 hộp sữa hạt sen LOF 180ml,34000,180ml,Sữa hạt
Thùng 24 hộp sữa hạt sen LOF 180ml,200000,180ml,Sữa hạt
Lốc 4 hộp sữa Vinamilk 9 loại hạt ít đường 180ml,50000,9l,Sữa hạt
Lốc 6 chai sữa đậu nành Number1 268ml,53500,268ml,Sữa hạt
Sữa đậu nành Number1 268ml,9300,268ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami Green Soy không đường 180ml,38500,180ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami Green Soy rất ít đường 180ml,38500,180ml,Sữa hạt
Lốc 4 hộp sữa hạnh nhân Vinamilk 180ml,29500,180ml,Sữa hạt
Lốc 4 hộp sữa đậu nành óc chó Vinamilk 180ml,31500,180ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami Canxi cà phê 200ml,31000,200ml,Sữa hạt
Lốc 4 hộp sữa đậu nành tươi Vinamilk 180ml,23500,180ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami sữa dừa 200ml,31000,200ml,Sữa hạt
Lốc 4 hộp ngũ cốc dinh dưỡng Việt Ngũ Cốc 180ml,33500,180ml,Sữa hạt
Sữa đậu đen hạnh nhân óc chó Vegemil bịch 200ml,16000,200ml,Sữa hạt
Sữa đậu nành Fami ít đường 200ml,4300,200ml,Sữa hạt
Sữa đậu nành Fami Canxi ít đường 200ml,4300,200ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami ít đường 200ml,29000,200ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami Canxi ít đường 200ml,30000,200ml,Sữa hạt
Sữa đậu nành Fami hộp 1 lít,22000,1l,Sữa hạt
Sữa đậu nành Nuti Canxi bịch 200ml,4400,200ml,Sữa hạt
Sữa đậu nành Nuti bịch 200ml,4500,200ml,Sữa hạt
Lốc 6 hộp sữa đậu nành Fami Canxi 200ml,30000,200ml,Sữa hạt
Lốc 6 hộp sữa đậu nành nguyên chất Fami 200ml,29000,200ml,Sữa hạt
Sữa đậu nành Fami nguyên chất  200ml,4300,200ml,Sữa hạt
Sữa đậu nành Fami Canxi 200ml,4300,200ml,Sữa hạt
Sữa đậu nành Yessy chai 330ml,14000,330ml,Sữa hạt
Sữa bắp Yessy chai 330ml,14000,330ml,Sữa hạt
Sữa bắp Sài Gòn chai 300ml,15000,330ml,Sữa hạt
Kem đặc Lamosa lon 1kg,48000,1kg,Sữa đặc
Kem đặc Ngôi sao Phương Nam xanh lá hộp 1.284kg,67500,1.284kg,Sữa đặc
Kem đặc Ngôi sao Phương Nam xanh lá hộp 380g,20500,380g,Sữa đặc
Kem đặc Vinamilk Tài Lộc lon 380g,16500,380g,Sữa đặc
Kem đặc Ngôi sao Phương Nam xanh lá lon 380g,21000,380g,Sữa đặc
Kem đặc có đường Dutch Lady túi 280g,22000,280g,Sữa đặc
Sữa đặc Ông Thọ đỏ tuýp 165g,19400,165g,Sữa đặc
Sữa đặc Ông Thọ nhãn xanh hộp 380g,26500,380g,Sữa đặc
Kem đặc Hoàn Hảo hộp 1.27kg,68000,1.27kg,Sữa đặc
Sữa đặc Ông Thọ nhãn vàng lon 380g,32500,380g,Sữa đặc
Sữa đặc Ông Thọ đỏ hộp 40g,4900,40g,Sữa đặc
Sữa đặc Ông Thọ nhãn xanh lon 380g,26500,380g,Sữa đặc
Sữa đặc Ông Thọ đỏ lon 380g,25500,380g,Sữa đặc
Ngũ cốc MacCereal 560g,75000,560g,"Yến mạch, ngũ cốc"
Ngũ cốc yến mạch MacCereal ít đường 480g,86500,480g,"Yến mạch, ngũ cốc"
Ngũ cốc VinaCafé B'fast 500g,60000,500g,"Yến mạch, ngũ cốc"
Granola Sunrise gói 300g,108000,300g,"Yến mạch, ngũ cốc"
Yến mạch nguyên chất Yumfood hũ 800g,139000,800g,"Yến mạch, ngũ cốc"
Yến mạch nguyên chất Yumfood gói 400g,86500,400g,"Yến mạch, ngũ cốc"
Ngũ cốc ăn sáng Nestlé Milo gói 70g,31000,70g,"Yến mạch, ngũ cốc"
Yến mạch trái cây Sunrise bịch 300g,82000,300g,"Yến mạch, ngũ cốc"
Hạt chia Sunrise gói 300g,105000,300g,"Yến mạch, ngũ cốc"
Yến mạch nguyên chất Oatmeal Cereal gói 350g,57500,350g,"Yến mạch, ngũ cốc"
Ngũ cốc vị socola Nestlé Milo hộp 170g,67000,170g,"Yến mạch, ngũ cốc"
Ngũ cốc vị socola Nestlé Milo hộp 330g,105000,330g,"Yến mạch, ngũ cốc"
Ngũ cốc Nestlé Koko Krunch vị socola hộp 150g,67000,150g,"Yến mạch, ngũ cốc"
Bột lúa mạch Milo Active Go 400g,81000,400g,"Yến mạch, ngũ cốc"
Kem bắp socola Joyday cây 80ml,9000,80ml,Kem
Kem socola nhân mứt dâu Snow baby X 60ml,9000,60ml,Kem
Kem khoai môn yến mạch Snow baby X 60ml,9000,60ml,Kem
Kem đậu đỏ yến mạch Snow baby X 60ml,9000,60ml,Kem
Kem đậu xanh yến mạch Snow baby X 60ml,9000,60ml,Kem
Kem bắp ngọt Joyday cây 80ml,9000,80ml,Kem
Kem dừa khoai môn Vinamilk mịn hộp 220g,33000,220g,Kem
Kem sầu riêng Vinamilk mịn hộp 220g,33000,220g,Kem
Kem Cream Socola Merino Super Teen cây 60g,9000,60g,Kem
Kem Socola hạnh nhân Celano Passion Classic cây 53g,20500,53g,Kem
Kem mạch nha socola giòn Joyday cây 65ml,9000,65ml,Kem
Kem Socola Merino Super Teen cây 60g,9000,60g,Kem
Kem vani Socola Merino Super Teen cây 60g,9000,60g,Kem
Kem vị cốm Binggrae cây 70ml,24000,70ml,Kem
Kem dâu socola Vinamilk mịn hộp 220g,33000,220g,Kem
Kem vị mật ong dâu Wall's Gấu Pooh cây 90ml,21500,90ml,Kem
Kem Dâu Vinamilk mịn hộp 220g,33000,220g,Kem
Kem dừa Vinamilk mịn hộp 220g,33000,220g,Kem
Kem khoai môn Vinamilk mịn 220g,33000,220g,Kem
Kem cà phê muối Celano cao cấp 307g,85000,307g,Kem
Kem Caramel muối Celano cao cấp 307g,85000,307g,Kem
Kem Chocolate Luxe Magnum 70g,32000,70g,Kem
Kem bánh mochi socola Joyday gói 45ml,6000,45ml,Kem
Kem bánh mochi dâu Joyday gói 45ml,6000,45ml,Kem
Kem socola việt quất giòn Joyday cây 65ml,9000,65ml,Kem
Kem dâu socola Merino Super Teen cây 60g,9000,60g,Kem
Kem dừa non Magnolia cây 62g,18500,62g,Kem
Kem Choco Dip Magnolia Gotcha cây 35g,9000,35g,Kem
Kem vị sữa chua Binggrae Yomoitie cây 70ml,19500,70ml,Kem
Kem ốc quế Vani Magnolia Hachi cây 72g,22000,72g,Kem
Kem Choco crush Iberri cây 60g,17000,60g,Kem
Kem socola vani dâu Iberri cây 68g,17000,68g,Kem
Kem khoai môn lõi xốt Merino X Plus cây 60g,9000,60g,Kem
Kem chanh Magnolia Hachi cây 63g,12000,63g,Kem
Kem xoài nhiệt đới Wall's cây 65g,12000,65g,Kem
Kem Magnolia 5 màu cây 62g,12000,62g,Kem
Kem vani dâu Merino hộp 465g,79000,465g,Kem
Kem socola vani dâu Wall's 3in1 Neo hộp 390g,75000,390g,Kem
Kem khoai môn dẻo Wall's cây 62g,13000,62g,Kem
Kem dừa non Wall's cây 63g,13000,63g,Kem
Kem Topten Vanila Wall's cây 60g,12500,60g,Kem
Kem Topten Socola Wall's cây 60g,12500,60g,Kem
Kem sữa tươi trân châu đường đen Celano cây 70g,20500,70g,Kem
Kem dưa lưới Melona cây 80ml,24500,80ml,Kem
Kem chuối Merino truyền thống cây 85g,9000,85g,Kem
Sữa chua dẻo phô mai Merino gói 50g,6000,50g,Kem
Kem Pongta Soda Binggrae cây 130ml,24500,130ml,Kem
Kem bánh cá vani đậu đỏ Celano gói 70g,20500,70g,Kem
Kem ốc quế vani socola Cornetto cây 66g,20500,66g,Kem
Kem ốc quế socola vani Cornetto cây 66g,18500,66g,Kem
Kem ốc quế vani socola Celano cây 66g,20500,66g,Kem
Kem ốc quế hạt dẻ Celano Classic cây 66g,20500,66g,Kem
Kem bánh cá trà sữa trân châu Celano gói 70g,20500,70g,Kem
Kem Milky Chocolate Merino Kool Cutie Bear cây 64g,9000,64g,Kem
Kem dưa hấu Merino Kool cây 62g,8500,62g,Kem
Kem cacao sô cô la Merino Yeah! cây 68g,9000,68g,Kem
Kem bánh cá trà xanh Binggrae Samanco gói 150ml,30000,150ml,Kem
Kem bánh cá Binggrae Samanco gói 150ml,30000,150ml,Kem
Cá trứng đông lạnh SG Food 200g,25000,200g,"Thịt, hải sản đông lạnh"
Tôm thẻ đông lạnh Sài Thành Foods gói 300g,79000,300g,"Thịt, hải sản đông lạnh"
Đầu thăn ngoại bò tuyết Mr.T 250g,89000,250g,"Thịt, hải sản đông lạnh"
Thịt ốc móng tay Sài Thành Foods gói 400g,39000,400g,"Thịt, hải sản đông lạnh"
Cá hồi hồng Kiwifood 300g,89000,300g,"Thịt, hải sản đông lạnh"
Tôm thẻ PD size 31/40 Ào Ào gói 250g,69000,250g,"Thịt, hải sản đông lạnh"
Thịt ba rọi bò Mỹ đông lạnh Thảo Tiến 300g,119000,300g,"Thịt, hải sản đông lạnh"
Bò bít tết Úc Mr.T khay 200g,99000,200g,"Thịt, hải sản đông lạnh"
Tôm thẻ PD luộc size 41/50 Ào Ào gói 250g,63000,250g,"Thịt, hải sản đông lạnh"
Tôm thẻ PD size 16/20 Ào Ào gói 250g,85000,250g,"Thịt, hải sản đông lạnh"
Tôm thẻ PD size 41/50 Ào Ào gói 250g,65000,250g,"Thịt, hải sản đông lạnh"
Ốc Bulot đông lạnh Saky gói 500g,129000,500g,"Thịt, hải sản đông lạnh"
Bào ngư đông lạnh Tân Hải Hòa khay 300g,135000,300g,"Thịt, hải sản đông lạnh"
Cá basa fille Sài Thành Foods khay 500g,45000,500g,"Thịt, hải sản đông lạnh"
5á basa cắt khúc Sài Thành Foods khay 300g,37000,300g,"Thịt, hải sản đông lạnh"
Mực nút đông lạnh Sài Thành Foods gói 300g,59000,300g,"Thịt, hải sản đông lạnh"
Cá đổng đông lạnh Sài Thành Foods 500g,45000,500g,"Thịt, hải sản đông lạnh"
Đầu cá hồi cắt lát làm sạch Tân Hải Hòa gói 500g,60000,500g,"Thịt, hải sản đông lạnh"
Tôm khô size XS Lam Điền hũ 100g,79500,100g,"Thịt, hải sản đông lạnh"
Thịt nghêu luộc Ào Ào khay 200g,50000,200g,"Thịt, hải sản đông lạnh"
Cá Sapa Nhật Ào Ào 400g,50000,400g,"Thịt, hải sản đông lạnh"
Ba chỉ bò Úc đông lạnh Mr.T 300g,110000,300g,"Thịt, hải sản đông lạnh"
Thịt ba chỉ bò Mỹ cuộn Orifood 300g,112000,300g,"Thịt, hải sản đông lạnh"
Cá trứng đông lạnh Tân Hải Hòa 200g,40000,200g,"Thịt, hải sản đông lạnh"
Vây cá hồi đông lạnh SG Food 500g,59500,500g,"Thịt, hải sản đông lạnh"
Thanh surimi vị cua 3N Akira 250g,69000,250g,"Thịt, hải sản đông lạnh"
Hải sản ngũ sắc đông lạnh SG Food 300g,48000,300g,"Thịt, hải sản đông lạnh"
Dẻ sườn bò Mỹ Gofood 500g,284000,500g,"Thịt, hải sản đông lạnh"
Dẻ sườn bò Mỹ Gofood 300g,169000,300g,"Thịt, hải sản đông lạnh"
Ba chỉ bò Úc cắt lẩu Gofood khay 300g,89000,300g,"Thịt, hải sản đông lạnh"
Ba chỉ bò Úc cắt nướng Gofood 300g,89000,300g,"Thịt, hải sản đông lạnh"
Sườn Nữ Hoàng Gofood 300g,159000,300g,"Thịt, hải sản đông lạnh"
Sườn Hoàng Đế Gofood 300g,230000,300g,"Thịt, hải sản đông lạnh"
Lõi vai bò cắt nướng Gofood 300g,155000,300g,"Thịt, hải sản đông lạnh"
Lõi vai bò cắt lẩu Gofood 300g,155000,300g,"Thịt, hải sản đông lạnh"
Ba chỉ bò Mỹ cắt nướng Gofood 300g,112000,300g,"Thịt, hải sản đông lạnh"
Ba chỉ bò Mỹ cắt lẩu Gofood 300g,112000,300g,"Thịt, hải sản đông lạnh"
Sườn bò Mỹ không xương Kiwifood khay 300g,287000,300g,"Thịt, hải sản đông lạnh"
Bắp bò Úc cắt miếng Kiwifood khay 300g,80000,300g,"Thịt, hải sản đông lạnh"
Lõi vai bò cắt miếng Kiwifood khay 300g,129000,300g,"Thịt, hải sản đông lạnh"
Hải sâm cát Kiwifood 80g,229000,80g,"Thịt, hải sản đông lạnh"
Cua lột Kiwifood 400g,187000,400g,"Thịt, hải sản đông lạnh"
Combo lẩu no nê Gofood 1kg,499000,1kg,"Thịt, hải sản đông lạnh"
Combo thịt phủ phê Gofood 1kg,699000,1kg,"Thịt, hải sản đông lạnh"
